# data from comet - 64K element size 1k iterations
#                    1K element size 10k iterations
#
# procs   1k-mvapich-ravg 1k-mvapich-wavg  1k-pdht-ravg 1k-pdht-wavg
12        400.2839327     471.3280797
24        441.2412544     148.2628981      374.5621060   3298.9834063 
48        402.7580569     1003.2838682     400.4447109   4650.8425014
60        379.7220627     1252.3387512     410.3808100   4893.8488829
120       400.9617269     2586.7063701     425.7280574   6886.7320541
180       376.6260187     3966.8798831     415.0010937   8895.2584852
240       375.9479860     5428.4358680     438.5535190  10927.7954374
288       400.1566536     6490.9744047     408.9999394  12718.2406435
360       419.3851622     8024.0892443     425.0550473  14610.1426422
480       396.3736505    10308.6513852     374.9393263  17872.5373156

 
12        98.7278024       388.2654707    1855.0804293   2334.9305592
24        209.4402909      937.4171694    1743.0419355   5418.3777828
48        400.1915107      466.1476562    1880.8382827  13164.7613010
60        429.1135867      524.5411356    2270.5823869  12019.3090001
120       395.9607085     2454.0209810    2212.4810038  15358.3187962
180       433.8344852     3666.4199432    1905.7550725  19063.1034306
240       431.0273627     4922.4807700    1966.0008266  20483.6348408
288       461.5451255     5816.0221982    2209.1293943  23471.3499695
360       460.5825305     7377.7398917    2108.0980964  28699.4068159
480       521.3310749    10091.3047746    2288.2513697  34831.9385062
