
-l  84745 nodes
p     construction     compress     reconstruct
16     1.4742754      0.6451240      0.6349641
32     4.0636763      2.1017311      2.0537176
64     4.7789625      1.3957379      1.2619513
128   13.1455459      1.3403565      1.1600012
512    DNF

-l 461513 nodes
p     construction     compress     reconstruct
 16     insuff memory
 32     16.8719773     8.4300316     8.1900645
 64     10.8227151     6.0797068     5.9864682
128     16.4195047     4.3909991     4.4683447
